,0,0,0,0
0,"Bangalore International Exhibition Centre (BIEC) , Bangalore","Southend Circle, Bangalore","Nagawara, Bangalore","Ragigudda Temple, Bangalore"
1,"Whitefield, Bangalore","Jayanagar, Bangalore","Jayadeva Hospital Interchange, Bangalore","Vellara Junction, Bangalore"
2,"Jindal, Bangalore","Majestic, Bangalore","BTM Layout, Bangalore","Indiranagar, Bangalore"
3,"Arabic College, Bangalore",,"ITPL, Bangalore","Trinity, Bangalore"
4,"Kadugodi, Bangalore",,"Silk Board Interchange, Bangalore","Mahatma Gandhi Road, Bangalore"
5,"Nagasandra, Bangalore",,"Tannery Town, Bangalore","Cubbon Park, Bangalore"
6,"Dasarahalli, Bangalore",,"HSR Layout, Bangalore",
7,"Jalahalli, Bangalore",,"Pottery Town, Bangalore",
8,"Oxford College, Bangalore",,"Vydehi Hospital, Bangalore",
9,"Peenya Industry, Bangalore",,"Cantonment Railway Station, Bangalore",
10,"Kundalahalli, Bangalore",,"Shivajinagar, Bangalore",
11,"Muneshwara Nagar, Bangalore",,"Langford Town, Bangalore",
12,"Peenya, Bangalore",,"Sandal Soap Factory, Bangalore",
13,"Chikkabegur, Bangalore",,"Mahadevapura, Bangalore",
14,"Basapura Road, Bangalore",,"Electronics City 1, Bangalore",
15,"Yeshwanthpur, Bangalore",,"Mahalaxmi, Bangalore",
16,"Hosa Road, Bangalore",,"Electronics City 2, Bangalore",
17,"MICO Bosch, Bangalore",,"Dairy Circle, Bangalore",
18,"KR Puram, Bangalore",,"Swagath Road Cross, Bangalore",
19,"Rajajinagar, Bangalore",,"Srirampura, Bangalore",
20,"Huskur Road, Bangalore",,"Sampige Road, Bangalore",
21,"Baiyappanahalli, Bangalore",,"Swami Vivekananda Road, Bangalore",
22,"Hebbagodi, Bangalore",,"IIMB, Bangalore",
23,"Bommasandra, Bangalore",,"Halasuru, Bangalore",
24,"Hulimavu, Bangalore",,"National College, Bangalore",
25,"Krishna Rajendra Market, Bangalore",,"Lalbagh, Bangalore",
26,"Gottigere, Bangalore",,"Vidhana Soudha, Bangalore",
27,"Rashtreeya Vidyalaya Road, Bangalore",,"City Railway Station, Bangalore",
28,"Banashankari, Bangalore",,,
29,"Jayaprakash Nagar, Bangalore",,,
30,"Magadi Road, Bangalore",,,
31,"Yelachenahalli, Bangalore",,,
32,"Hosahalli, Bangalore",,,
33,"Anjanapura Road Cross, Bangalore",,,
34,"Vijayanagar, Bangalore",,,
35,"Vajarahalli, Bangalore",,,
36,"Attiguppe, Bangalore",,,
37,"Deepanjali Nagar, Bangalore",,,
38,"Mysore Road, Bangalore",,,
39,"Nayandahalli, Bangalore",,,
40,"Rajarajeshwari Nagar, Bangalore",,,
41,"Bangalore University, Bangalore",,,
42,"R. V. College of Engineering/Pattanagere, Bangalore",,,
43,"Kengeri, Bangalore",,,
